Time	wtime	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1773272331	0	6047	8480	0	787616	6593	24576	88	0	0	0	0	0	0	0	1	1
1773272333	2	300343	302776	0	787616	6593	24576	88	0	42	1	42	1	1	0	1	1
1773272335	4	391932	394476	0	787616	6593	24576	88	0	42	1	42	1	1	0	1	1
1773272337	6	391932	394476	0	787616	6593	24576	88	0	42	1	42	1	1	0	1	1
1773272339	8	391932	394476	0	787616	6593	24576	88	0	42	1	42	1	1	0	1	1
1773272341	10	391932	394476	0	787616	6593	24576	88	0	42	1	42	1	1	0	1	1
1773272343	12	391918	394476	0	787616	6593	24576	88	0	42	1	42	1	1	0	1	1
1773272345	14	391918	394476	0	787616	6593	24576	88	0	42	1	42	1	1	0	1	1
1773272347	16	391918	394476	0	787616	6593	24576	88	0	42	1	42	1	1	0	1	1
1773272349	18	391932	394476	0	787616	6593	24576	88	0	144	2	42	1	1	0	1	1
1773272351	20	391905	394476	0	787616	6593	24576	88	0	144	2	42	1	1	0	1	1
1773272353	22	391932	394476	0	787616	6593	24576	88	0	144	2	42	1	1	0	1	1
1773272355	24	391932	394476	0	787616	6593	24576	88	0	144	2	42	1	1	0	1	1
1773272357	26	391932	394476	0	787616	6593	24576	88	0	144	2	42	1	1	0	1	1
1773272359	28	391905	394476	0	787616	6593	24576	88	0	234	3	132	2	1	0	1	1
1773272361	30	391932	394476	0	787616	6593	24576	88	0	234	3	132	2	1	0	1	1
1773272363	32	1304	3848	0	6364	6593	24576	88	0	318	5	216	4	1	0	1	1
