Time	wtime	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1773247600	0	50115	52588	0	104020	6593	77824	87	0	0	0	0	0	0	0	1	1
1773247602	2	50132	52588	0	104020	6593	77824	87	0	0	0	0	0	0	0	1	1
1773247604	4	50132	52588	0	104020	6593	77824	87	0	0	0	0	0	0	0	1	1
1773247606	6	50127	52588	0	104020	6593	77824	87	0	0	0	0	0	0	0	1	1
1773247608	8	50127	52588	0	104020	6593	77824	87	0	0	0	0	0	0	0	1	1
1773247610	10	50146	52588	0	104020	6593	77824	87	0	0	0	0	0	0	0	1	1
1773247612	12	50146	52588	0	104020	6593	77824	87	0	90	1	90	1	0	0	1	1
1773247614	14	50146	52588	0	104020	6593	77824	87	0	90	1	90	1	0	0	1	1
1773247616	16	50146	52588	0	104020	6593	77824	87	0	90	1	90	1	0	0	1	1
1773247618	18	50117	52588	0	104020	6593	77824	87	0	174	3	174	3	0	0	1	1
1773247620	20	50146	52588	0	104020	6593	77824	87	0	174	3	174	3	0	0	1	1
1773247622	22	50146	52588	0	104020	6593	77824	87	0	174	3	174	3	0	0	1	1
1773247624	24	50132	52588	0	104020	6593	77824	87	0	174	3	174	3	0	0	1	1
1773247626	26	50126	52588	0	104020	6593	77824	87	0	174	3	174	3	0	0	1	1
1773247628	28	50126	52588	0	104020	6593	77824	87	0	174	3	174	3	0	0	1	1
1773247630	30	50146	52588	0	104020	6593	77824	87	0	174	3	174	3	0	0	1	1
1773247632	32	50146	52588	0	104020	6593	77824	87	0	174	3	174	3	0	0	1	1
1773247634	34	50146	52588	0	104020	6593	77824	87	0	174	3	174	3	0	0	1	1
1773247636	36	50146	52588	0	104020	6593	77824	87	0	174	3	174	3	0	0	1	1
1773247638	38	50117	52588	0	104020	6593	77824	87	0	174	3	174	3	0	0	1	1
1773247640	40	50132	52588	0	104020	6593	77824	87	0	174	3	174	3	0	0	1	1
1773247642	42	50132	52588	0	104020	6593	77824	87	0	264	4	264	4	0	0	1	1
1773247644	44	50146	52588	0	104020	6593	77824	87	0	264	4	264	4	0	0	1	1
1773247646	46	50127	52588	0	104020	6593	77824	87	0	264	4	264	4	0	0	1	1
1773247648	48	50146	52588	0	104020	6593	77824	87	0	264	4	264	4	0	0	1	1
1773247650	50	50146	52588	0	104020	6593	77824	87	0	264	4	264	4	0	0	1	1
1773247652	52	50122	52588	0	104020	6593	77824	87	0	264	4	264	4	0	0	1	1
1773247654	54	50122	52588	0	104020	6593	77824	87	0	264	4	264	4	0	0	1	1
1773247656	56	50146	52588	0	104020	6593	77824	87	0	264	4	264	4	0	0	1	1
1773247658	58	50146	52588	0	104020	6593	77824	87	0	264	4	264	4	0	0	1	1
